id,name,rank,rate_2029,rate_2028,rate_2027,rate_2026,rate_2025,rate_2024,source_url,source_note
princeton,Princeton University,1,4.42,4.62,4.50,5.70,4.38,5.63,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
mit,Massachusetts Institute of Technology,2,4.56,4.55,4.80,3.96,4.11,7.26,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
harvard,Harvard University,3,4.18,3.65,3.45,3.24,4.01,5.01,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
stanford,Stanford University,4,,3.61,3.91,3.68,3.95,5.19,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
yale,Yale University,4,4.75,3.87,4.50,4.57,5.31,6.53,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
uchicago,University of Chicago,6,,4.48,4.79,5.43,6.48,6.20,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
duke,Duke University,7,5.20,5.71,6.78,6.17,5.88,7.79,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
johns_hopkins,Johns Hopkins University,7,5.14,6.44,7.56,7.25,7.52,8.79,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
northwestern,Northwestern University,7,7.00,7.69,7.22,7.21,6.97,9.31,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
upenn,University of Pennsylvania,7,4.87,5.40,5.87,6.50,5.87,8.98,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
caltech,California Institute of Technology,11,3.78,2.57,3.14,2.69,3.92,6.69,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
cornell,Cornell University,12,8.38,8.41,7.90,7.26,8.69,10.71,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
brown,Brown University,13,5.65,5.39,5.23,5.06,5.51,7.67,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
dartmouth,Dartmouth College,13,6.03,5.40,6.23,6.38,6.17,9.22,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
columbia,Columbia University,15,4.94,3.86,4.00,3.74,3.89,6.15,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
uc_berkeley,"University of California, Berkeley",15,11.43,10.98,11.66,11.33,14.44,17.48,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
rice,Rice University,17,8.01,8.00,7.88,8.68,9.48,10.89,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
ucla,"University of California, Los Angeles",17,9.41,8.97,8.73,8.57,10.77,14.33,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
vanderbilt,Vanderbilt University,17,4.60,5.86,6.28,6.67,7.14,11.62,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
cmu,Carnegie Mellon University,20,11.07,11.66,11.40,11.30,13.54,17.27,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
umich,University of Michigan-Ann Arbor,20,16.42,15.64,17.94,17.69,20.15,26.11,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
notre_dame,University of Notre Dame,20,9.00,11.27,12.38,12.91,15.07,18.99,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
washu,Washington University in St. Louis,20,11.92,12.06,11.96,11.33,13.00,16.02,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
emory,Emory University,24,10.30,10.29,10.65,11.35,13.05,19.17,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
georgetown,Georgetown University,24,11.94,12.91,13.08,12.22,11.98,16.81,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
unc,University of North Carolina-Chapel Hill,26,,15.34,18.70,16.85,19.24,23.54,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
uva,University of Virginia,26,15.65,16.81,16.86,18.66,20.74,22.58,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
usc,University of Southern California,28,11.19,9.81,10.01,12.02,12.51,16.11,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
ucsd,University of California San Diego,29,28.41,26.77,24.76,23.83,34.31,38.30,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
uf,University of Florida,30,19.77,24.20,24.03,23.35,30.14,31.13,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
ut_austin,University of Texas-Austin,30,31.00,28.20,29.10,31.40,28.80,32.00,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
gatech,Georgia Institute of Technology,32,12.70,13.80,16.50,17.10,18.30,21.70,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
nyu,New York University,32,7.70,8.00,9.40,12.50,12.80,15.00,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
uc_davis,"University of California, Davis",32,46.30,41.83,36.25,37.34,48.74,46.35,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
uc_irvine,"University of California, Irvine",32,28.94,28.79,20.39,21.27,28.94,29.92,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
boston_college,Boston College,36,12.60,15.90,15.50,16.70,18.90,23.40,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
tufts,Tufts University,36,10.50,11.50,10.10,9.70,11.00,15.00,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
uiuc,University of Illinois Urbana Champaign,36,36.59,42.37,43.69,44.82,59.66,63.30,https://admissionsight.com/college-acceptance-rates/,AdmissionSight National Universities table
wisconsin,University of Wisconsin-Madison,36,45.20,,,,,,https://collegescorecard.ed.gov/school/?240444,College Scorecard UNITID 240444 latest.admissions.admission_rate.overall official base rate; USNEWS 2026 T50 rank from IMG_0749.JPG
ucsb,"University of California, Santa Barbara",40,32.97,,,,,,https://collegescorecard.ed.gov/school/?110705,College Scorecard UNITID 110705 latest.admissions.admission_rate.overall official base rate; USNEWS 2026 T50 rank from IMG_0749.JPG
ohio_state,The Ohio State University,41,60.57,,,,,,https://irp.osu.edu/sites/default/files/documents/2026/03/IPEDS-2025-Columbus.pdf,IPEDS Data Feedback Report 2025 chart count 44116 admitted / 72829 applicants official base rate; USNEWS 2026 T50 rank from IMG_0749.JPG
