college_id,undergrad_nonresident_share,international_admitted_count,total_admitted_count,international_admit_coefficient,international_aid_policy,is_undergrad_only,data_scope,source_fields,source_url,data_quality,source_note
princeton,0.1292,,,,need_blind,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
mit,0.1166,,,,need_blind,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
harvard,0.1502,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
stanford,0.1221,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
yale,0.1116,,,,need_blind,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
uchicago,0.1758,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
duke,0.1062,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
johns_hopkins,0.15,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
northwestern,0.118,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
upenn,0.14,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
caltech,0.14,,,,need_blind,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
cornell,0.1,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
brown,0.1047,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
dartmouth,0.1549,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
columbia,0.1543,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
uc_berkeley,0.1,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
rice,0.1299,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
ucla,0.08,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
vanderbilt,0.11,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
cmu,0.19,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
umich,0.08,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
notre_dame,0.0748,,,,need_aware,true,undergraduate_enrollment_proxy,cds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.62,Undergraduate nonresident share only; admitted international count unavailable
washu,0.09,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
emory,0.17,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
georgetown,0.14,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
unc,0.06,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
uva,0.05,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
usc,0.14,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
ucsd,0.11,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
uf,0.03,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
ut_austin,,,,,unknown,true,missing_undergraduate_international_data,,,0.30,Missing undergraduate international data; use overall acceptance rate only
gatech,0.08,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
nyu,0.26,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
uc_davis,,,,,unknown,true,missing_undergraduate_international_data,,,0.30,Missing undergraduate international data; use overall acceptance rate only
uc_irvine,,,,,unknown,true,missing_undergraduate_international_data,,,0.30,Missing undergraduate international data; use overall acceptance rate only
boston_college,0.06,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
tufts,0.12,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
uiuc,,,,,unknown,true,missing_undergraduate_international_data,,,0.30,Missing undergraduate international data; use overall acceptance rate only
bu,0.21,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
northeastern,0.14,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
case,0.11,,,,need_aware,true,undergraduate_enrollment_proxy,ipeds.undergrad_nonresident_share,https://nces.ed.gov/ipeds/search,0.55,Undergraduate nonresident share proxy; admitted international count unavailable
