id,name,rank,rate_2029,rate_2028,rate_2027,rate_2026,rate_2025,rate_2024,source_url,source_note,data_quality
williams,Williams College,1,8.25,,,,,,https://collegescorecard.ed.gov/school/?168342,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 168342; reviewed against Williams College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
amherst,Amherst College,2,9.01,,,,,,https://collegescorecard.ed.gov/school/?164465,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 164465; reviewed against Amherst College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
swarthmore,Swarthmore College,4,7.46,,,,,,https://collegescorecard.ed.gov/school/?216287,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 216287; reviewed against Swarthmore College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
bowdoin,Bowdoin College,5,7.13,,,,,,https://collegescorecard.ed.gov/school/?161004,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 161004; reviewed against Bowdoin College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
claremont_mckenna,Claremont McKenna College,7,9.59,,,,,,https://collegescorecard.ed.gov/school/?112260,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 112260; reviewed against Claremont McKenna College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
pomona,Pomona College,7,7.09,,,,,,https://collegescorecard.ed.gov/school/?121345,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 121345; reviewed against Pomona College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
wellesley,Wellesley College,7,14.05,,,,,,https://collegescorecard.ed.gov/school/?168218,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 168218; reviewed against Wellesley College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
carleton,Carleton College,10,20.41,,,,,,https://collegescorecard.ed.gov/school/?173258,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 173258; reviewed against Carleton College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
harvey_mudd,Harvey Mudd College,10,12.66,,,,,,https://collegescorecard.ed.gov/school/?115409,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 115409; reviewed against Harvey Mudd College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
barnard,Barnard College,13,8.84,,,,,,https://collegescorecard.ed.gov/school/?189097,College Scorecard latest.admissions.admission_rate.overall / ADM_RATE; official base rate applied via UNITID 189097; reviewed against Barnard College. Original IMG_0742.JPG table retained for LAC list/rank scope.,0.9
