college_id,major_category,program_label,entry_year,class_year,metric_scope,applicant_scope,applicants,admits,admit_rate,enrolled_or_spots,overall_admit_rate,selectivity_ratio,is_direct_admit_rate,is_undergrad_first_year,source_tier,source_url,source_note,data_quality
uiuc,Computer Science,Computer Science,2025,2029,first_year_major_admit_rate,all_applicants,,,0.074,,0.366,0.202,true,true,official,https://www.admissions.illinois.edu/apply/freshman/admit-rate,"UIUC official 2025 first-year admit-rate page reports Computer Science 7.4% and overall total admit rate 36.6%. Entry year is Fall 2025; class year is Class of 2029.",0.94
uiuc,Computer Science,Computer Science + X,2025,2029,first_year_program_admit_rate,all_applicants,,,0.174,,0.366,0.475,true,true,official,https://www.admissions.illinois.edu/apply/freshman/admit-rate,"UIUC official 2025 first-year admit-rate page reports Computer Science + X Programs 17.4% and overall total admit rate 36.6%. Entry year is Fall 2025; class year is Class of 2029.",0.92
uiuc,Engineering,Grainger College of Engineering,2025,2029,first_year_college_admit_rate,all_applicants,,,0.212,,0.366,0.579,true,true,official,https://www.admissions.illinois.edu/apply/freshman/admit-rate,"UIUC official 2025 first-year admit-rate page reports Grainger College of Engineering 21.2% and overall total admit rate 36.6%. Entry year is Fall 2025; class year is Class of 2029.",0.94
uiuc,Business,Gies College of Business,2025,2029,first_year_college_admit_rate,all_applicants,,,0.209,,0.366,0.571,true,true,official,https://www.admissions.illinois.edu/apply/freshman/admit-rate,"UIUC official 2025 first-year admit-rate page reports Gies College of Business 20.9% and overall total admit rate 36.6%. Entry year is Fall 2025; class year is Class of 2029.",0.94
ucla,Nursing,Nursing Prelicensure,2025,2029,first_year_major_admit_rate,all_applicants,,,0.005,,0.094,0.053,true,true,official,https://admission.ucla.edu/apply/first-year/first-year-profile/2025/major,"UCLA official Fall 2025 first-year profile by major reports Nursing Prelicensure 0.5% and campus overall 9.4%. Entry year is Fall 2025; class year is Class of 2029.",0.96
ucla,Film / Media / Design,Film and Television,2025,2029,first_year_major_admit_rate,all_applicants,,,0.013,,0.094,0.138,true,true,official,https://admission.ucla.edu/apply/first-year/first-year-profile/2025/major,"UCLA official Fall 2025 first-year profile by major reports Film and Television 1.3% and campus overall 9.4%. Entry year is Fall 2025; class year is Class of 2029.",0.95
ucla,Film / Media / Design,Design Media Arts,2025,2029,first_year_major_admit_rate,all_applicants,,,0.031,,0.094,0.330,true,true,official,https://admission.ucla.edu/apply/first-year/first-year-profile/2025/major,"UCLA official Fall 2025 first-year profile by major reports Design Media Arts 3.1% and campus overall 9.4%. Entry year is Fall 2025; class year is Class of 2029.",0.94
ucla,Engineering,Samueli School of Engineering,2025,2029,first_year_school_admit_rate,all_applicants,,,0.068,,0.094,0.723,true,true,official,https://admission.ucla.edu/apply/first-year/first-year-profile/2025/major,"UCLA official Fall 2025 first-year profile by major reports Samueli Engineering 6.8% and campus overall 9.4%. Entry year is Fall 2025; class year is Class of 2029.",0.94
ucla,Computer Science,Computer Science,2025,2029,first_year_major_admit_rate,all_applicants,,,0.073,,0.094,0.777,true,true,official,https://admission.ucla.edu/apply/first-year/first-year-profile/2025/major,"UCLA official Fall 2025 first-year profile by major reports Computer Science 7.3% and campus overall 9.4%. Entry year is Fall 2025; class year is Class of 2029.",0.94
ucla,Computer Science,Computer Science and Engineering,2025,2029,first_year_major_admit_rate,all_applicants,,,0.072,,0.094,0.766,true,true,official,https://admission.ucla.edu/apply/first-year/first-year-profile/2025/major,"UCLA official Fall 2025 first-year profile by major reports Computer Science and Engineering 7.2% and campus overall 9.4%. Entry year is Fall 2025; class year is Class of 2029.",0.94
